user_name,movie_id,rating
04GreatFlick,6,10
04GreatFlick,17,10
04GreatFlick,24,10
04GreatFlick,33,8
04GreatFlick,38,10
04GreatFlick,48,10
04GreatFlick,55,10
04GreatFlick,64,10
04GreatFlick,90,10
04GreatFlick,91,10
04GreatFlick,106,10
04GreatFlick,108,10
04GreatFlick,135,10
04GreatFlick,140,10
0rbita1,4,10
0rbita1,6,10
0rbita1,20,10
0rbita1,27,10
0rbita1,62,10
0rbita1,65,7
0rbita1,66,10
0rbita1,88,10
0rbita1,89,10
0rbita1,107,10
0rbita1,137,10
1001Films,4,10
1001Films,13,10
1001Films,35,10
1001Films,55,10
1001Films,110,10
1001Films,116,10
1001Films,117,10
1001Films,129,10
1001Films,130,10
109YearsOld,10,10
109YearsOld,51,10
109YearsOld,64,10
109YearsOld,89,10
109YearsOld,110,10
109YearsOld,120,10
109YearsOld,122,1
109YearsOld,133,10
109YearsOld,140,10
11ovz11,2,10
11ovz11,35,1
11ovz11,67,10
11ovz11,91,10
11ovz11,115,10
11ovz11,131,10
210west,17,10
210west,18,10
210west,33,10
210west,43,6
210west,110,10
210west,123,10
3_the_monkey,10,10
3_the_monkey,11,10
3_the_monkey,22,10
3_the_monkey,27,10
3_the_monkey,47,10
3_the_monkey,70,10
3_the_monkey,99,10
3_the_monkey,100,10
3_the_monkey,102,10
3_the_monkey,116,10
3_the_monkey,126,10
3_the_monkey,136,10
3_the_monkey,140,10
3xHCCH,26,10
3xHCCH,35,10
3xHCCH,36,10
3xHCCH,46,10
3xHCCH,50,10
3xHCCH,62,10
3xHCCH,63,10
3xHCCH,69,10
3xHCCH,73,10
3xHCCH,93,10
3xHCCH,100,10
3xHCCH,106,6
3xHCCH,132,9
851222,17,8
851222,21,7
851222,28,10
851222,29,10
851222,30,10
851222,32,10
851222,48,10
851222,58,10
851222,75,6
851222,87,8
851222,89,10
851222,92,6
851222,102,10
851222,105,10
851222,108,7
851222,113,2
851222,119,10
851222,121,10
851222,124,10
851222,125,10
851222,130,10
851222,133,8
a_chinn,4,10
a_chinn,5,10
a_chinn,13,10
a_chinn,34,10
a_chinn,44,10
a_chinn,80,10
a_chinn,103,10
a_chinn,107,8
a_chinn,118,10
a_chinn,138,10
A_Different_Drummer,8,10
A_Different_Drummer,17,10
A_Different_Drummer,24,10
A_Different_Drummer,26,10
A_Different_Drummer,31,10
A_Different_Drummer,32,2
